選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"河野　優作","読売ジャイアンツ","大阪","A","1","","サイド気味の腕の振りが特徴の変則左腕。大学時代は1年の春季リーグ戦から活躍。3年時にはフォームの改良に取り組み、侍ジャパン大学代表の候補に選ばれた。プロではより一層鍛錬に励み、早期の支配下登録を目指す。"
"才木　海翔","オリックス・バファローズ","大阪","A","4","2,800万円（推定）","躍動感のあるフォームが魅力の育成出身右腕。昨季は前年を上回る38試合に登板し、防御率1.87をマーク。一時は抑えを任されるなど、大きな飛躍を遂げた。右肘の手術を受けて臨む今季は、いち早く状態を整えてチームの力となる。"
"古謝　樹","東北楽天ゴールデンイーグルス","神奈川","O","3","3,950万円（推定）","出どころの見えにくいフォームが特徴の若手左腕。昨季は開幕ローテーション入りを果たすと、4月6日にはプロ初完封を記録。最終的にチームトップタイの7勝をマークした。今季は年間を通して安定した投球を見せ、先発陣を引っ張りたい。"
"山﨑　福也","北海道日本ハムファイターズ","埼玉","B","12","25,000万円（推定）","昨季は夏場に調子を落として先発ローテーションから外れるも、9月以降はリリーフでチームに貢献。トータルで111イニングを投げ、防御率2.27を記録した。今季は持ち前の投球術に一層の磨きをかけ、2年ぶりの2ケタ勝利を目指す。"
"堀江　正太郎","読売ジャイアンツ","東京","O","2","380万円（推定）","角度のあるボールで打者と勝負する育成右腕。高卒1年目の昨季は三軍で登板を重ね、好成績をマーク。9月には二軍で公式戦デビューを果たした。今季はピッチング全体のレベルアップを図り、進化した姿を披露したい。"
"松井　蓮太朗","読売ジャイアンツ","愛知","O","1","","強肩とシュアな打撃が持ち味の育成捕手。豊橋中央高では、3年夏の愛知大会で打率.464をマーク。決勝では延長11回に勝ち越し打を放ち、チームを初の甲子園出場に導いた。1年目から実戦経験を積み、プロで戦うための土台を築く。"
"平内　龍太","読売ジャイアンツ","兵庫","A","6","2,700万円（推定）","直球に鋭く落ちる変化球を織り交ぜる右腕。昨季は防御率5.74と振るわず、登板は12試合止まり。シーズン最終戦ではアンダースローを試すなど、成績向上のために模索を続けた。今季はキャンプから結果を残し、出番を増やしたい。"
"松尾　汐恩","横浜DeNAベイスターズ","京都","A","4","2,300万円（推定）","攻守で高いポテンシャルを秘める若手捕手。昨季は開幕一軍入りを果たし、前年を上回る77試合に出場。プロ初アーチを含む4本塁打を放つなど、確かな成長を示した。今季はより一層のスケールアップを遂げ、正捕手の座を射止めたい。"
"周東　佑京","福岡ソフトバンクホークス","群馬","A","9","40,000万円（推定）","昨季は故障の影響で出場数を減らしたものの、自身4度目となる盗塁王を獲得。2年連続のゴールデングラブ賞に輝くなど、走攻守にわたる活躍を見せた。今季はコンディションに気を配り、リードオフマンとしてチームを引っ張る。"
"郡司　裕也","北海道日本ハムファイターズ","千葉","A","7","11,000万円（推定）","強打が売りのユーティリティー。昨季は111試合に出場し、打率.297、10本塁打をマーク。守っては5つのポジションをこなすなど、チームの躍進に貢献した。背番号を3に変更して臨む今季も攻守に躍動し、リーグ制覇を目指す。"
"元　謙太","オリックス・バファローズ","岐阜","O","6","1,000万円（推定）","走攻守のバランスが取れた6年目外野手。昨季は代走や守備固めを中心に、一軍で自己最多の31試合に出場。9月に右鎖骨下静脈血栓症と診断を受け、その後は治療に専念した。育成契約で迎える今季は、早期の実戦復帰を目指す。"
"笹原　操希","読売ジャイアンツ","長野","O","5","600万円（推定）","広角に打球を打ち分ける外野手。昨季は春先からアピールを重ね、4月に支配下へ昇格。同月17日には一軍でプロ初ヒットを放つも、計20打数2安打に終わった。再び育成契約となる今季は、実戦でより一層の存在感を示したい。"
"荘司　康誠","東北楽天ゴールデンイーグルス","新潟","B","4","4,000万円（推定）","鋭く落ちるスプリットが光る右腕。昨季は5月に一軍へ合流するも、6月にはコンディション不良で離脱。7月末からはローテーションを守り、まずまずの活躍を見せた。今季は万全なコンディションを維持し、規定投球回到達を目指す。"
"山本　祐大","横浜DeNAベイスターズ","大阪","A","9","7,300万円（推定）","素早い送球でピンチの芽を摘む捕手。昨季は前半戦こそ打撃で苦しんだものの、最終的に打率.262、3本塁打を記録。8月には21試合の出場で26安打をマークした。今季も扇の要としてナインを引っ張り、チームをリーグ優勝に導く。"
"横山　陸人","千葉ロッテマリーンズ","東京","O","7","5,800万円（推定）","サイドハンドから威力のあるボールを投げ込む右腕。昨季は自己最多の50試合に登板し、防御率2.08を記録。後半戦はクローザーを任され、12セーブを挙げる活躍を見せた。今季もブルペン陣の柱として、チームを勝利に導く。"
"松本　凌人","横浜DeNAベイスターズ","大阪","AB","3","950万円（推定）","サイドハンドから力のある速球を繰り出す右腕。昨季は二軍でチームトップの49試合に登板するも、一軍では防御率7点台とアピールできなかった。今季は課題であるコントロールを安定させ、実戦でより良い結果を残したい。"
"Ａ．バルドナード","読売ジャイアンツ","パナマ","不明","4","","がっちりとした体格から力のあるボールを投げ込む助っ人左腕。昨季は制球面で精彩を欠き、登板は来日後最少となる19試合止まり。シーズン終盤にはサイドスローに挑戦した。今季はコントロールを安定させ、自身の地位を確立させたい。"
"八木　彬","千葉ロッテマリーンズ","和歌山","A","5","1,800万円（推定）","150キロ前後の速球を力強く投げ込む右腕。昨季は一軍で自己最多の27試合に登板。防御率5点台に終わるも、シーズン終盤には7試合連続無失点と一定の結果を残した。今季はキャンプからアピールを見せ、より重要な場面を担いたい。"
"山下　恭吾","福岡ソフトバンクホークス","福岡","AB","4","360万円（推定）","攻守両面でセンスが光る育成内野手。高卒3年目の昨季は右手人さし指の骨折がありながら、二軍で自己最多の30試合に出場。打率.321と確かな成長を示した。今季も引き続き鍛錬に励み、実戦を通して首脳陣にアピールしたい。"
